EmployeeID,Target,TargetMonth
90836195,500000,01-12-2017
112432117,500000,01-07-2017
139397894,500000,01-12-2017
191644724,500000,01-09-2017
502097814,500000,01-07-2017
716374314,500000,01-12-2017
841560125,500000,01-08-2017
987554265,500000,01-12-2017
61161660,500000,01-02-2018
90836195,500000,01-05-2018
139397894,500000,01-06-2018
139397894,500000,01-07-2018
139397894,500000,01-08-2018
139397894,500000,01-09-2018
139397894,500000,01-10-2018
139397894,500000,01-11-2018
139397894,500000,01-12-2018
191644724,500000,01-02-2018
191644724,500000,01-03-2018
234474252,500000,01-07-2018
234474252,500000,01-08-2018
234474252,500000,01-09-2018
234474252,500000,01-10-2018
234474252,500000,01-11-2018
234474252,500000,01-12-2018
399771412,500000,01-07-2018
399771412,500000,01-08-2018
399771412,500000,01-09-2018
399771412,500000,01-10-2018
399771412,500000,01-11-2018
399771412,500000,01-12-2018
841560125,500000,01-03-2018
841560125,500000,01-04-2018
841560125,500000,01-06-2018
987554265,500000,01-08-2018
61161660,500000,01-03-2019
90836195,500000,01-09-2019
90836195,500000,01-12-2019
134219713,500000,01-11-2019
139397894,500000,01-02-2019
139397894,500000,01-03-2019
139397894,500000,01-12-2019
191644724,500000,01-02-2019
234474252,500000,01-07-2019
234474252,500000,01-10-2019
399771412,500000,01-07-2019
399771412,500000,01-08-2019
399771412,500000,01-10-2019
668991357,500000,01-12-2019
841560125,500000,01-03-2019
841560125,500000,01-05-2019
841560125,500000,01-07-2019
841560125,500000,01-08-2019
841560125,500000,01-09-2019
841560125,500000,01-10-2019
841560125,500000,01-11-2019
841560125,500000,01-12-2019
982310417,500000,01-10-2019
982310417,500000,01-12-2019
987554265,500000,01-10-2019
90836195,500000,01-04-2020
90836195,500000,01-05-2020
90836195,500000,01-06-2020
90836195,500000,01-08-2020
90836195,500000,01-09-2020
90836195,500000,01-11-2020
90836195,500000,01-12-2020
134219713,500000,01-11-2020
139397894,500000,01-02-2020
139397894,500000,01-12-2020
191644724,500000,01-01-2020
234474252,500000,01-04-2020
234474252,500000,01-07-2020
234474252,500000,01-08-2020
234474252,500000,01-10-2020
234474252,500000,01-11-2020
399771412,500000,01-06-2020
399771412,500000,01-07-2020
399771412,500000,01-08-2020
399771412,500000,01-10-2020
399771412,500000,01-11-2020
668991357,500000,01-02-2020
668991357,500000,01-03-2020
668991357,500000,01-12-2020
716374314,500000,01-12-2020
841560125,500000,01-03-2020
841560125,500000,01-07-2020
841560125,500000,01-08-2020
841560125,500000,01-09-2020
841560125,500000,01-10-2020
841560125,500000,01-11-2020
841560125,500000,01-12-2020
982310417,500000,01-01-2020
982310417,500000,01-02-2020
982310417,500000,01-03-2020
982310417,500000,01-10-2020
982310417,500000,01-12-2020
987554265,500000,01-05-2020
987554265,500000,01-10-2020
987554265,500000,01-11-2020
90836195,500000,01-01-2021
90836195,500000,01-02-2021
90836195,500000,01-03-2021
90836195,500000,01-04-2021
90836195,500000,01-05-2021
90836195,500000,01-06-2021
134219713,500000,01-02-2021
134219713,500000,01-03-2021
134219713,500000,01-04-2021
134219713,500000,01-05-2021
134219713,500000,01-06-2021
139397894,500000,01-01-2021
139397894,500000,01-02-2021
139397894,500000,01-03-2021
139397894,500000,01-12-2021
191644724,500000,01-01-2021
191644724,500000,01-02-2021
234474252,500000,01-02-2021
234474252,500000,01-03-2021
234474252,500000,01-04-2021
234474252,500000,01-05-2021
234474252,500000,01-06-2021
234474252,500000,01-07-2021
234474252,500000,01-08-2021
234474252,500000,01-10-2021
234474252,500000,01-11-2021
399771412,500000,01-01-2021
399771412,500000,01-02-2021
399771412,500000,01-03-2021
399771412,500000,01-04-2021
399771412,500000,01-05-2021
399771412,500000,01-06-2021
615389812,500000,01-03-2021
615389812,500000,01-04-2021
615389812,500000,01-05-2021
615389812,500000,01-06-2021
615389812,500000,01-07-2021
615389812,500000,01-08-2021
615389812,500000,01-09-2021
615389812,500000,01-10-2021
615389812,500000,01-11-2021
615389812,500000,01-12-2021
668991357,500000,01-02-2021
668991357,500000,01-03-2021
716374314,500000,01-07-2021
716374314,500000,01-08-2021
716374314,500000,01-09-2021
716374314,500000,01-10-2021
716374314,500000,01-11-2021
716374314,500000,01-12-2021
841560125,500000,01-01-2021
841560125,500000,01-02-2021
841560125,500000,01-03-2021
841560125,500000,01-04-2021
841560125,500000,01-07-2021
841560125,500000,01-08-2021
841560125,500000,01-09-2021
841560125,500000,01-10-2021
841560125,500000,01-11-2021
841560125,500000,01-12-2021
